1|4|2001|777009
2|4|2002|942493
3|4|2003|3055026
4|4|2004|6214888
5|4|2005|6963027
6|4|2006|5946344
7|4|2007|3839762
8|4|2008|2410981
9|4|2009|1646702
10|4|2010|1475548
11|4|2011|1510902
12|4|2012|2717478
13|4|2013|4992734
14|4|2014|6395671
15|4|2015|5197950
16|4|2016|6117138
17|14|2001|1338619
18|14|2002|1841462
19|14|2003|2454720
20|14|2004|2002079
21|14|2005|2148121
22|14|2006|1623733
23|14|2007|770813
24|14|2008|662541
25|14|2009|462508
26|14|2010|406966
27|14|2011|421478
28|14|2012|417862
29|14|2013|864753
30|14|2014|997520
31|14|2015|1301851
32|14|2016|1273533
33|22|2001|1567016
34|22|2002|1922005
35|22|2003|9414503
36|22|2004|13132686
37|22|2005|13393082
38|22|2006|8835728
39|22|2007|8020748
40|22|2008|6218657
41|22|2009|3704381
42|22|2010|3263277
43|22|2011|4056338
44|22|2012|6857530
45|22|2013|6709206
46|22|2014|7321754
47|22|2015|8591055
48|22|2016|8320674
49|1|2002|2881873
50|1|2003|3215434
51|1|2004|8842594
52|1|2005|10263175
53|1|2006|6780346
54|1|2007|4161475
55|1|2008|2381956
56|1|2009|1485532
57|1|2010|1749507
58|1|2011|1880951
59|1|2012|3615423
60|1|2013|4007751
61|1|2014|4958090
62|1|2015|7853487
63|1|2016|7486000
64|3|2002|307700
65|3|2003|364233
66|3|2004|1042259
67|3|2005|1536674
68|3|2006|974803
69|3|2007|678946
70|3|2008|666284
71|3|2009|562002
72|3|2010|473968
73|3|2011|383316
74|3|2012|346922
75|3|2013|774674
76|3|2014|822818
77|3|2015|1218336
78|3|2016|1347011
79|5|2002|163789
80|5|2003|225469
81|5|2004|1459651
82|5|2005|3267561
83|5|2006|4846571
84|5|2007|2760641
85|5|2008|1747067
86|5|2009|1048573
87|5|2010|754207
88|5|2011|1382015
89|5|2012|2263691
90|5|2013|2923355
91|5|2014|4847734
92|5|2015|6115816
93|5|2016|4552855
94|6|2002|420262
95|6|2003|533296
96|6|2004|1787003
97|6|2005|2380729
98|6|2006|2316659
99|6|2007|1473835
100|6|2008|1002466
101|6|2009|877426
102|6|2010|653278
103|6|2011|882102
104|6|2012|1511805
105|6|2013|1968197
106|6|2014|3080964
107|6|2015|2515855
108|6|2016|2502941
109|7|2002|864635
110|7|2003|1123962
111|7|2004|4793853
112|7|2005|6878795
113|7|2006|6377790
114|7|2007|4727838
115|7|2008|2612113
116|7|2009|1920815
117|7|2010|1390401
118|7|2011|1443783
119|7|2012|3107667
120|7|2013|4825701
121|7|2014|7482754
122|7|2015|8142386
123|7|2016|6813663
124|8|2002|418096
125|8|2003|437973
126|8|2004|1425856
127|8|2005|1491292
128|8|2006|1261168
129|8|2007|870485
130|8|2008|549758
131|8|2009|389832
132|8|2010|473146
133|8|2011|435866
134|8|2012|403271
135|8|2013|711023
136|8|2014|1498227
137|8|2015|997655
138|8|2016|851139
139|10|2002|837542
140|10|2003|1016542
141|10|2004|2292757
142|10|2005|3193937
143|10|2006|3697061
144|10|2007|1934281
145|10|2008|1360820
146|10|2009|551873
147|10|2010|624029
148|10|2011|885948
149|10|2012|1223403
150|10|2013|1393324
151|10|2014|1902162
152|10|2015|3075465
153|10|2016|4476894
154|11|2002|454322
155|11|2003|664773
156|11|2004|1409019
157|11|2005|1585852
158|11|2006|1197264
159|11|2007|727123
160|11|2008|586337
161|11|2009|460408
162|11|2010|413923
163|11|2011|364825
164|11|2012|609076
165|11|2013|682399
166|11|2014|840485
167|11|2015|1443104
168|11|2016|1479556
169|12|2002|942243
